Pedido;Material;Material Description;Plant;Customer;Customer Name;Attribute9Description;Ordem de Compra;ShipTo;RDD;RDD_HEADER;Status;Sales Doc type;Size;ConfirmedQty;Gross Carteira;PDV;Origin;Division_desc;BrandDesc;Gender;KeyCategory;RDD_Month;NF_Number;Billing_Date;Billing_Month;SeasonSO;LastRefreshUpdate;CNPJ
7002119234;IH6185;GRAND COURT BASE SUEDE                  ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);44/1, 42/1, 37/2, 36/2, 35/2, 34/1, 38/2, 40/2, 39/2, 43/1, 41/2;18;3018,81;399,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7002119234;JP8275;TENIS STREETALK                         ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);40/2, 42/3, 43/2, 41/3, 39/1, 44/1;12;1761,01;349,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7002119234;JP8282;TENIS STREETALK                         ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);40/1, 38/3, 39/2, 36/2, 37/3, 35/1;12;1761,01;349,99;Imported;Footwear;Adidas;Female;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7002119234;JQ3596;TENIS GRAND COURT BASE ALPHA            ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);37/3, 36/3, 38/2, 39/1, 34/1, 35/2;12;2012,54;399,99;Imported;Footwear;Adidas;Female;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7001954101;IQ5679;TENIS GRAND COURT BASE 2 0              ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);NAC-PRE Q1/Q2 LOJA 4;7000013091;20/03/2025;20/03/2025;Faturado;PRE FUT (ZFUT);34/2, 35/2, 36/2, 37/2, 38/2, 39/2, 40/3, 41/3, 42/2, 43/2, 44/1, 45/1;24;3325,76;299,99;Local;Footwear;Adidas;Male;SPORTSWEAR;2025-03;173855;14/03/2025;2025-03;25S;2025-04-24 10:05:51.047;7387469000255
7002114692;IH6184;TENIS GRAND COURT BASE 00S              ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000013091;01/08/2025;01/08/2025;Aguardando chegada;PRE FUT (ZFUT);44/1, 38/1, 39/1, 43/1, 42/3, 41/3, 40/2;12;2012,54;399,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-08;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;7387469000255
7002114692;IH6185;GRAND COURT BASE SUEDE                  ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000013091;01/08/2025;01/08/2025;Aguardando chegada;PRE FUT (ZFUT);36/2, 42/1, 44/1, 34/1, 37/2, 35/2, 39/2, 38/2, 43/1, 41/2, 40/2;18;3018,81;399,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-08;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;7387469000255
7002118323;ID3714;TENIS VL COURT BASE                     ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000013091;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);34/1, 38/2, 35/2, 36/3, 39/1, 37/3;12;1761,01;349,99;Imported;Footwear;Adidas;Female;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;7387469000255
7002118323;IH6184;TENIS GRAND COURT BASE 00S              ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000013091;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);43/1, 41/2, 40/2, 42/2, 44/1, 37/1, 38/1, 39/2;12;2012,54;399,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;7387469000255
7002118323;IH6185;GRAND COURT BASE SUEDE                  ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000013091;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);40/2, 41/2, 43/1, 44/1, 35/2, 42/1, 39/2, 37/2, 36/2, 38/2, 34/1;18;3018,81;399,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;7387469000255
7002118323;JP8275;TENIS STREETALK                         ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000013091;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);44/1, 39/1, 43/2, 40/2, 41/3, 42/3;12;1761,01;349,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;7387469000255
7002118323;JP8282;TENIS STREETALK                         ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000013091;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);37/3, 36/2, 35/1, 39/2, 38/3, 40/1;12;1761,01;349,99;Imported;Footwear;Adidas;Female;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;7387469000255
7002118323;JQ3596;TENIS GRAND COURT BASE ALPHA            ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000013091;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);36/3, 39/1, 37/3, 34/1, 38/2, 35/2;12;2012,54;399,99;Imported;Footwear;Adidas;Female;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;7387469000255
7002118919;ID3714;TENIS VL COURT BASE                     ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000013091;01/10/2025;01/10/2025;Aguardando chegada;PRE FUT (ZFUT);38/2, 34/1, 39/1, 35/2, 36/3, 37/3;12;1761,01;349,99;Imported;Footwear;Adidas;Female;SPORTSWEAR;2025-10;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;7387469000255
7002119234;ID3714;TENIS VL COURT BASE                     ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);39/1, 34/1, 36/3, 37/3, 38/2, 35/2;12;1761,01;349,99;Imported;Footwear;Adidas;Female;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7002119234;IH6184;TENIS GRAND COURT BASE 00S              ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;03/11/2025;01/11/2025;Aguardando chegada;PRE FUT (ZFUT);44/1, 42/2, 37/1, 39/2, 43/1, 41/2, 38/1, 40/2;12;2012,54;399,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-11;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7001923914;IF4092;TENIS URBAN COURT                       ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE Q1 Q2 LOJA 16;7000002491;02/01/2025;01/12/2024;Faturado;PRE FUT (ZFUT);34/1, 35/2, 36/3, 37/3, 38/2, 39/1;12;1551,89;279,99;Local;Footwear;Adidas;Female;SPORTSWEAR;2025-01;131536;23/12/2024;2024-12;25S;2025-04-24 10:05:51.047;1985562000102
7001923914;JI3471;TENIS HOOPS 4 0 J                       ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE Q1 Q2 LOJA 16;7000002491;02/01/2025;01/12/2024;Faturado;PRE FUT (ZFUT);33/1, 34/1, 35/3, 36/3, 37/2, 38/2;12;1760,97;349,99;Imported;Footwear;Adidas;Unissex;BASKETBALL;2025-01;131536;23/12/2024;2024-12;25S;2025-04-24 10:05:51.047;1985562000102
7001953875;IQ5679;TENIS GRAND COURT BASE 2 0              ;7050;7000002697;B.M.COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);NAC-PRE Q1 Q2 LOJA 0;7000002697;20/03/2025;20/03/2025;Faturado;PRE FUT (ZFUT);34/2, 35/2, 36/2, 37/2, 38/2, 39/2, 40/3, 41/3, 42/2, 43/2, 44/1, 45/1;24;3325,75;299,99;Local;Footwear;Adidas;Male;SPORTSWEAR;2025-03;174936;17/03/2025;2025-03;25S;2025-04-24 10:05:51.047;68407931000142
7001916445;JI2306;TENIS BARREDA                           ;7050;7000002697;B.M.COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE Q1/Q2 LOJA 05;7000002697;20/03/2025;01/12/2024;Em Processo de Faturamento;PRE FUT (ZFUT);39/1;1;146,75;349,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-03;NULL;NULL;Not Invoiced;25S;2025-04-24 10:05:51.047;68407931000142
7001916445;JI2307;TENIS BARREDA                           ;7050;7000002697;B.M.COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE Q1/Q2 LOJA 05;7000002697;20/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);34/2, 35/2, 36/2, 37/2, 38/2, 39/3, 40/3, 41/3, 42/2, 43/2, 44/1;24;3521,95;349,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-03;174936;17/03/2025;2025-03;25S;2025-04-24 10:05:51.047;68407931000142
7001947489;IQ5680;TENIS GRAND COURT BASE 2 0              ;7050;7000002697;B.M.COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);NAC-PRE Q1 Q2 LOJA 0;7000002697;20/03/2025;20/03/2025;Faturado;PRE FUT (ZFUT);34/2, 35/2, 36/2, 37/2, 38/2, 39/2, 40/3, 41/3, 42/2, 43/2, 44/1, 45/1;24;3325,76;299,99;Local;Footwear;Adidas;Male;SPORTSWEAR;2025-03;174936;17/03/2025;2025-03;25S;2025-04-24 10:05:51.047;68407931000142
7001916445;IF4092;TENIS URBAN COURT                       ;7050;7000002697;B.M.COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE Q1/Q2 LOJA 05;7000002697;02/01/2025;01/12/2024;Faturado;PRE FUT (ZFUT);34/1, 35/2, 36/3, 37/3, 38/2, 39/1;12;1551,89;279,99;Local;Footwear;Adidas;Female;SPORTSWEAR;2025-01;131308;23/12/2024;2024-12;25S;2025-04-24 10:05:51.047;68407931000142
7001916445;IF4092;TENIS URBAN COURT                       ;7050;7000002697;B.M.COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE Q1/Q2 LOJA 05;7000002697;20/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);34/1, 35/2, 36/3, 37/3, 38/2, 39/1;12;1551,89;279,99;Local;Footwear;Adidas;Female;SPORTSWEAR;2025-03;174936;17/03/2025;2025-03;25S;2025-04-24 10:05:51.047;68407931000142
7001921129;IH0582;TENIS DURAMO RC                         ;7050;7000015835;NRG COMERCIO DE CALCADOS LTDA;DI GASPI (M B R);PRE Q1 Q2 LOJA 49;7000015835;31/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);34/1, 35/2, 36/3, 37/2, 38/2, 39/1;11;1383,73;299,99;Imported;Footwear;Adidas;Female;RUNNING;2025-03;173892;14/03/2025;2025-03;25S;2025-04-24 10:05:51.047;8103190000265
7001921129;IH0582;TENIS DURAMO RC                         ;7050;7000015835;NRG COMERCIO DE CALCADOS LTDA;DI GASPI (M B R);PRE Q1 Q2 LOJA 49;7000015835;31/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);37/1;1;125,79;299,99;Imported;Footwear;Adidas;Female;RUNNING;2025-03;190413;04/04/2025;2025-04;25S;2025-04-24 10:05:51.047;8103190000265
7001921129;IH0583;TENIS DURAMO RC                         ;7050;7000015835;NRG COMERCIO DE CALCADOS LTDA;DI GASPI (M B R);PRE Q1 Q2 LOJA 49;7000015835;20/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);34/1, 35/2, 36/3, 37/3, 38/2, 39/1;12;1509,52;299,99;Imported;Footwear;Adidas;Female;RUNNING;2025-03;173892;14/03/2025;2025-03;25S;2025-04-24 10:05:51.047;8103190000265
7001921129;JI1049;TENIS URBAN COURT                       ;7050;7000015835;NRG COMERCIO DE CALCADOS LTDA;DI GASPI (M B R);PRE Q1 Q2 LOJA 49;7000015835;31/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);42/1;1;129,32;279,99;Local;Footwear;Adidas;Male;SPORTSWEAR;2025-03;190413;04/04/2025;2025-04;25S;2025-04-24 10:05:51.047;8103190000265
7001921129;JI1049;TENIS URBAN COURT                       ;7050;7000015835;NRG COMERCIO DE CALCADOS LTDA;DI GASPI (M B R);PRE Q1 Q2 LOJA 49;7000015835;31/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);37/1, 38/2, 39/3, 40/3, 41/2;11;1422,57;279,99;Local;Footwear;Adidas;Male;SPORTSWEAR;2025-03;173892;14/03/2025;2025-03;25S;2025-04-24 10:05:51.047;8103190000265
7001921129;JI1851;TENIS URBAN COURT                       ;7050;7000015835;NRG COMERCIO DE CALCADOS LTDA;DI GASPI (M B R);PRE Q1 Q2 LOJA 49;7000015835;20/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);40/1;1;129,32;279,99;Local;Footwear;Adidas;Male;SPORTSWEAR;2025-03;190413;04/04/2025;2025-04;25S;2025-04-24 10:05:51.047;8103190000265
7001921129;JI1851;TENIS URBAN COURT                       ;7050;7000015835;NRG COMERCIO DE CALCADOS LTDA;DI GASPI (M B R);PRE Q1 Q2 LOJA 49;7000015835;20/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);37/1, 39/3, 40/1, 42/1, 43/1;7;905,24;279,99;Local;Footwear;Adidas;Male;SPORTSWEAR;2025-03;173892;14/03/2025;2025-03;25S;2025-04-24 10:05:51.047;8103190000265
7001921129;JI1851;TENIS URBAN COURT                       ;7050;7000015835;NRG COMERCIO DE CALCADOS LTDA;DI GASPI (M B R);PRE Q1 Q2 LOJA 49;7000015835;20/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);38/1, 40/1, 41/2;4;517,28;279,99;Local;Footwear;Adidas;Male;SPORTSWEAR;2025-03;183362;25/03/2025;2025-03;25S;2025-04-24 10:05:51.047;8103190000265
7001921129;JI2306;TENIS BARREDA                           ;7050;7000015835;NRG COMERCIO DE CALCADOS LTDA;DI GASPI (M B R);PRE Q1 Q2 LOJA 49;7000015835;31/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);34/1, 35/1, 36/2, 37/3, 38/2, 39/3, 40/4, 41/3, 42/2, 44/1;22;3228,47;349,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-03;173892;14/03/2025;2025-03;25S;2025-04-24 10:05:51.047;8103190000265
7001921129;JI2306;TENIS BARREDA                           ;7050;7000015835;NRG COMERCIO DE CALCADOS LTDA;DI GASPI (M B R);PRE Q1 Q2 LOJA 49;7000015835;31/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);41/1;1;146,75;349,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-03;186036;27/03/2025;2025-03;25S;2025-04-24 10:05:51.047;8103190000265
